Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),CO2_Gas(lb/sf),FanCost($),HeatingElecCost($),HeatingGasCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingElecCost($/sf),HeatingGasCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
cle_com_elec_01,N,Exist,10817.87,13677.75,0.0,7361.51,705.21,32562.34,32.83,41.5,0.0,22.34,2.14,98.81,41.6,0.0,308.16,76.6,0.0,209.7,705.21,1299.67,0.94,0.23,0.0,0.64,2.14,3.94
cle_com_elec_02,E,Exist,6247.16,16544.9,0.0,5039.81,705.21,28537.08,18.96,50.2,0.0,15.29,2.14,86.59,36.46,0.0,177.96,92.65,0.0,143.57,705.21,1119.38,0.54,0.28,0.0,0.44,2.14,3.4
cle_com_elec_03,S,Exist,9947.47,10771.22,0.0,9631.51,705.21,31055.4,30.19,32.68,0.0,29.23,2.14,94.24,39.68,0.0,283.37,60.32,0.0,274.37,705.21,1323.26,0.86,0.18,0.0,0.83,2.14,4.02
cle_com_elec_04,W,Exist,8803.37,10661.49,0.0,9533.0,705.21,29703.07,26.71,32.35,0.0,28.93,2.14,90.13,37.95,0.0,250.78,59.7,0.0,271.56,705.21,1287.25,0.76,0.18,0.0,0.82,2.14,3.91
cle_com_elec_05,N,Exist_Clear,8943.22,7510.27,0.0,7440.73,705.21,24599.43,27.14,22.79,0.0,22.58,2.14,74.65,31.43,0.0,254.76,42.06,0.0,211.96,705.21,1213.99,0.77,0.13,0.0,0.64,2.14,3.68
cle_com_elec_06,E,Exist_Clear,5519.79,9326.22,0.0,5254.68,705.21,20805.9,16.75,28.3,0.0,15.95,2.14,63.13,26.58,0.0,157.24,52.23,0.0,149.69,705.21,1064.36,0.48,0.16,0.0,0.45,2.14,3.23
cle_com_elec_07,S,Exist_Clear,8235.21,5429.2,0.0,9646.9,705.21,24016.51,24.99,16.47,0.0,29.27,2.14,72.88,30.68,0.0,234.59,30.4,0.0,274.81,705.21,1245.01,0.71,0.09,0.0,0.83,2.14,3.78
cle_com_elec_08,W,Exist_Clear,7227.86,5362.51,0.0,9470.09,705.21,22765.67,21.93,16.27,0.0,28.74,2.14,69.08,29.09,0.0,205.9,30.03,0.0,269.77,705.21,1210.9,0.62,0.09,0.0,0.82,2.14,3.67
cle_com_elec_09,N,Exist_LowE,7095.61,9328.76,0.0,5600.25,705.21,22729.84,21.53,28.31,0.0,16.99,2.14,68.97,29.04,0.0,202.13,52.24,0.0,159.53,705.21,1119.11,0.61,0.16,0.0,0.48,2.14,3.4
cle_com_elec_10,E,Exist_LowE,4458.02,10957.95,0.0,4033.34,705.21,20154.52,13.53,33.25,0.0,12.24,2.14,61.16,25.75,0.0,126.99,61.36,0.0,114.9,705.21,1008.46,0.39,0.19,0.0,0.35,2.14,3.06
cle_com_elec_11,S,Exist_LowE,6618.03,7225.07,0.0,7095.48,705.21,21643.79,20.08,21.92,0.0,21.53,2.14,65.68,27.65,0.0,188.52,40.46,0.0,202.13,705.21,1136.32,0.57,0.12,0.0,0.61,2.14,3.45
cle_com_elec_12,W,Exist_LowE,5790.97,7095.84,0.0,6927.63,705.21,20519.65,17.57,21.53,0.0,21.02,2.14,62.27,26.22,0.0,164.96,39.74,0.0,197.34,705.21,1107.25,0.5,0.12,0.0,0.6,2.14,3.36
