Scenario,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),AnnualEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),CO2_Gas(lb/sf),FanCost($),HeatingElecCost($),HeatingGasCost($),CoolingCost($),LightingCost($),AnnualCost($),FanCost($/sf),HeatingElecCost($/sf),HeatingGasCost($/sf),CoolingCost($/sf),LightingCost($/sf),AnnualCost($/sf)
cle_res_elec_01,N,Exist,15870.81,12879.28,0.0,9200.18,194.14,38144.42,48.16,39.08,0.0,27.92,0.59,115.75,48.73,0.0,575.83,149.4,0.0,333.8,194.14,1253.17,1.75,0.45,0.0,1.01,0.59,3.8
cle_res_elec_02,E,Exist,8259.81,17054.3,0.0,5977.87,194.14,31486.13,25.06,51.75,0.0,18.14,0.59,95.54,40.23,0.0,299.68,197.83,0.0,216.89,194.14,908.55,0.91,0.6,0.0,0.66,0.59,2.76
cle_res_elec_03,S,Exist,14327.82,10939.34,0.0,11621.99,194.14,37083.3,43.48,33.19,0.0,35.27,0.59,112.53,47.38,0.0,519.84,126.9,0.0,421.67,194.14,1262.55,1.58,0.39,0.0,1.28,0.59,3.83
cle_res_elec_04,W,Exist,12810.85,10707.24,0.0,11439.71,194.14,35151.93,38.87,32.49,0.0,34.71,0.59,106.67,44.91,0.0,464.81,124.2,0.0,415.06,194.14,1198.21,1.41,0.38,0.0,1.26,0.59,3.64
cle_res_elec_05,N,Exist_Clear,14193.99,5165.63,0.0,9394.62,194.14,28948.38,43.07,15.67,0.0,28.51,0.59,87.84,36.98,0.0,514.99,59.92,0.0,340.86,194.14,1109.91,1.56,0.18,0.0,1.03,0.59,3.37
cle_res_elec_06,E,Exist_Clear,7624.34,8018.8,0.0,6249.22,194.14,22086.5,23.14,24.33,0.0,18.96,0.59,67.02,28.22,0.0,276.63,93.02,0.0,226.74,194.14,790.52,0.84,0.28,0.0,0.69,0.59,2.4
cle_res_elec_07,S,Exist_Clear,12611.76,4045.46,0.0,11659.74,194.14,28511.11,38.27,12.28,0.0,35.38,0.59,86.52,36.43,0.0,457.58,46.93,0.0,423.04,194.14,1121.69,1.39,0.14,0.0,1.28,0.59,3.4
cle_res_elec_08,W,Exist_Clear,11134.12,3994.52,0.0,11429.22,194.14,26752.0,33.79,12.12,0.0,34.68,0.59,81.18,34.18,0.0,403.97,46.34,0.0,414.68,194.14,1059.12,1.23,0.14,0.0,1.26,0.59,3.21
cle_res_elec_09,N,Exist_LowE,11130.85,7319.85,0.0,7120.79,194.14,25765.63,33.78,22.21,0.0,21.61,0.59,78.18,32.92,0.0,403.85,84.91,0.0,258.36,194.14,941.26,1.23,0.26,0.0,0.78,0.59,2.86
cle_res_elec_10,E,Exist_LowE,5937.39,9956.75,0.0,4798.29,194.14,20886.57,18.02,30.21,0.0,14.56,0.59,63.38,26.68,0.0,215.42,115.5,0.0,174.09,194.14,699.15,0.65,0.35,0.0,0.53,0.59,2.12
cle_res_elec_11,S,Exist_LowE,9924.37,6040.59,0.0,8696.45,194.14,24855.55,30.11,18.33,0.0,26.39,0.59,75.42,31.76,0.0,360.08,70.07,0.0,315.53,194.14,939.82,1.09,0.21,0.0,0.96,0.59,2.85
cle_res_elec_12,W,Exist_LowE,8801.69,5879.15,0.0,8492.67,194.14,23367.66,26.71,17.84,0.0,25.77,0.59,70.91,29.85,0.0,319.34,68.2,0.0,308.13,194.14,889.82,0.97,0.21,0.0,0.94,0.59,2.7
