,Scenario,Date_Time,Elevation,GlazingSystem,FanEnergy(kBtu),HeatingElecEnergy(kBtu),HeatingGasEnergy(kBtu),CoolingEnergy(kBtu),LightingEnergy(kBtu),FanEnergy(kBtu/sf),HeatingElecEnergy(kBtu/sf),HeatingGasEnergy(kBtu/sf),CoolingEnergy(kBtu/sf),LightingEnergy(kBtu/sf),EUI(kBtu/sf),CO2_Electric(lb/sf),TotalEnergy(kBtu)
27149,cle_res_elec_01, 02/06  06:00:00,N,Exist,1.8117366778463684,11.603645821736812,0.0,0.0,0.026594598298324054,0.005497607883011283,0.03521057752006315,0.0,0.0,8.069973690888803e-05,0.04078888513998333,0.01717334431048718,13.441977097881505
35909,cle_res_elec_02, 02/06  06:00:00,E,Exist,0.9429010457605128,12.512882358646863,0.0,0.0,0.026594598298324054,0.002861177501928426,0.037969602059313795,0.0,0.0,8.069973690888803e-05,0.04091147929815111,0.01722496012890056,13.4823780027057
44669,cle_res_elec_03, 02/06  06:00:00,S,Exist,1.635596443680489,11.637494882807381,0.0,0.0,0.026594598298324054,0.004963120751571807,0.035313290495546594,0.0,0.0,8.069973690888803e-05,0.04035711098402729,0.01699155443760501,13.299685924786194
53429,cle_res_elec_04, 02/06  06:00:00,W,Exist,1.4624253982937492,11.602938949206889,0.0,0.0,0.026594598298324054,0.0044376434480162315,0.03520843255714425,0.0,0.0,8.069973690888803e-05,0.03972677574206938,0.01672616439068347,13.091958945798963
66113,cle_res_elec_05, 07/19  18:00:00,N,Exist_Clear,1.6203185871057462,0.0,0.0,8.419021661275929,0.041579371960792914,0.004916760998651938,0.0,0.0,0.025547023702855193,0.00012617014705141227,0.030589954848558545,0.012879288689888604,10.080919620342469
70949,cle_res_elec_06, 02/06  06:00:00,E,Exist_Clear,0.8703588268963274,7.780902675342082,0.0,0.0,0.026594598298324054,0.0026410524257209143,0.023610689350150454,0.0,0.0,8.069973690888803e-05,0.026332441512780254,0.01108674785012587,8.677856100536733
83626,cle_res_elec_07, 07/19  11:00:00,S,Exist_Clear,1.4396988280059961,0.0,0.0,7.476732078973191,0.008032378674696455,0.004368681013521457,0.0,0.0,0.0226877016506545,2.4373778409031875e-05,0.02708075644258499,0.01140181088502156,8.924463285653884
93040,cle_res_elec_08, 08/15  17:00:00,W,Exist_Clear,1.271017782827937,0.0,0.0,7.01728154122583,0.02963205241886422,0.0038568283502592535,0.0,0.0,0.021293526145428097,8.99167119370785e-05,0.02524027120762443,0.010626911386546114,8.31793137647263
97229,cle_res_elec_09, 02/06  06:00:00,N,Exist_LowE,1.2706452802737889,7.6047191676377714,0.0,0.0,0.026594598298324054,0.0038556980132720036,0.02307607090771589,0.0,0.0,8.069973690888803e-05,0.02701246865789678,0.011373059679034282,8.901959046209884
869,cle_res_elec_10, 02/06  06:00:00,E,Exist_LowE,0.6777845226750943,8.227031421678635,0.0,0.0,0.026594598298324054,0.0020566970798819428,0.024964440666601837,0.0,0.0,8.069973690888803e-05,0.027101837483392663,0.011410686635632813,8.931410542652053
9629,cle_res_elec_11, 02/06  06:00:00,S,Exist_LowE,1.1329191318512923,7.623700491653604,0.0,0.0,0.026594598298324054,0.0034377761549121296,0.02313366861372661,0.0,0.0,8.069973690888803e-05,0.026652144505547627,0.011221352401170717,8.78321422180322
18389,cle_res_elec_12, 02/06  06:00:00,W,Exist_LowE,1.0047594627498662,7.598425532110027,0.0,0.0,0.026594598298324054,0.0030488832127139012,0.023056973242633977,0.0,0.0,8.069973690888803e-05,0.026186556192256762,0.011025325753625866,8.629779593158217
