Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
n-exist,n,exist, 01/01  01:00:00,5.875,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1649267,9.719493773,0,9.719356984,0,21.00015971,20.35551682,18.43498353,1,1,10.5,21.055,0,1035103.245,0,262873.8396,0
n-exist,n,exist, 01/01  02:00:00,7,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13724767,10.26337677,0,10.26325302,0,21.00012341,20.34687786,18.19843433,1,1,10.5,21.055,0,977212.1694,0,262873.8396,0
n-exist,n,exist, 01/01  03:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16666444,10.28671883,0,10.28659396,0,21.00017019,20.32588458,18.15468244,1,1,10.5,21.055,0,1004135.704,0,262873.8396,0
n-exist,n,exist, 01/01  04:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1690556,10.29073671,0,10.29060745,0,21.00022274,20.30839512,18.27958161,1,1,10.5,21.055,0,1025525.699,0,262873.8396,0
n-exist,n,exist, 01/01  05:00:00,6.375,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14665385,9.833084994,0,9.832945784,0,21.00025165,20.27751069,18.60131082,1,1,10.5,21.055,0,1105639.354,0,262873.8396,0
n-exist,n,exist, 01/01  06:00:00,6,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09219772,9.57616224,0,9.576018386,0,21.00025566,20.25058942,18.87145568,1,1,10.5,21.055,0,1165809.537,0,262873.8396,0
n-exist,n,exist, 01/01  07:00:00,4.75,0.75,53136.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04031047,8.638916024,0,8.638775482,0,21.00026821,20.21330875,19.28384173,1,1,10.5,21.055,0,1305639.765,0,262873.8396,0
n-exist,n,exist, 01/01  08:00:00,5.25,0.51,53136.01126,0,0,0,6.058606104,0,4.743960557,0,5.522236509,0,4.058821909,0,0,0,5.37670501,0,4.05893259,0,0,64.81321941,0.531207965,52.07198724,0,19.0048752,9.106177642,0,9.105130833,0,21.00020128,20.23700863,19.37176577,1,1,10.5,21.055,0,1182864.118,0,262873.8396,0
n-exist,n,exist, 01/01  09:00:00,7.25,0.51,72576.01538,0,0,0,30.01864035,0,21.1118886,0,28.15481875,0,17.91208439,0,0,0,26.99233922,0,17.91284716,0,0,348.2970002,5.258363959,289.5799165,0,19.15589018,10.81659513,0,10.80903683,0,21.00008262,20.37354543,18.54004764,1,1,10.5,21.055,0,778397.5996,0,262873.8396,0
n-exist,n,exist, 01/01  10:00:00,10.5,0.3,72576.01538,0,0,0,46.89817295,0,30.68786013,0,44.01017961,0,26.14261444,0,0,0,43.47731916,0,26.14353332,0,0,559.266174,7.070309956,479.2567448,0,19.43183591,13.26382263,0,13.26018027,0,21.00004373,20.52523049,17.54196282,1,1,10.5,21.055,0,526471.8437,0,262873.8396,0
n-exist,n,exist, 01/01  11:00:00,13.25,0.3,53136.01126,12.31963621,44350.69034,0,55.40164727,0,33.88663485,0,53.64642803,0,29.07993595,5.404849086,19457.45671,0,55.05274257,0,29.08057004,6.91478712,24893.23363,684.2053815,7.66549708,596.5067665,0,19.77585392,15.23062821,0,15.23956271,0,21.00004796,20.65697735,16.77704804,1,1,10.5,21.055,0,324243.3918,0,262873.8396,0
n-exist,n,exist, 01/01  12:00:00,14.625,0.3,42768.00906,61.41441521,221091.8947,0,64.10602177,0,37.95266479,0,61.99962185,0,32.51881911,27.48160713,98933.78566,0,65.92625918,0,32.51961961,33.93280808,122158.1091,757.1213723,8.005381462,664.357061,0,20.16254404,16.23180509,0,16.25633254,0,21.00003657,20.7812591,16.15008446,1,1,10.5,21.055,0,121183.4785,0,262873.8396,0
n-exist,n,exist, 01/01  13:00:00,15.625,0.3,42768.00906,87.84056392,316226.0301,0,66.87869782,0,37.71238561,0,63.24319705,0,32.33593061,38.98244258,140336.7933,0,69.25158688,0,32.33668485,48.85812134,175889.2368,751.0811821,7.862708284,660.8567847,0,20.4877566,16.98224142,0,17.02037433,0,21.02559664,20.90289425,15.52579949,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/01  14:00:00,16.625,0.3,42768.00906,110.4780974,397721.1507,0,69.62255049,0,39.22518259,0,64.64811898,0,33.35136729,50.54843292,181974.3585,0,70.33494465,0,33.35265666,59.92966449,215746.7922,716.2626108,7.663892957,626.9017745,0,20.80127456,17.82388074,0,17.86245158,0,21.3420735,21.18501388,13.69344115,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/01  15:00:00,15.125,0.3,42768.00906,55.69095974,200487.4551,0,65.10293192,0,37.08457852,0,60.04559001,0,31.06450423,25.52353905,91884.74059,0,62.85867557,0,31.06655992,30.16742069,108602.7145,645.9209074,7.353743725,556.8935907,0,21.08024569,16.84896492,0,16.8679886,0,21.36107074,21.2461169,13.23270144,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/01  16:00:00,14,0.3,42768.00906,5.506163551,19822.18878,0,47.41898609,0,30.69561902,0,41.99261657,0,24.74139546,2.412498374,8684.994148,0,42.48584938,0,24.7448379,3.093665176,11137.19463,490.6981506,6.13223721,411.4766231,0,21.05244594,15.97071814,0,15.97445275,0,21.07526851,21.05879076,14.12831458,1,1,10.5,21.055,0,8976.539091,0,262873.8396,0
n-exist,n,exist, 01/01  17:00:00,12.75,0.3,42768.00906,0,0,0.483977976,3.42865854,0,2.488977235,0.47957185,2.996717911,0,2.031866493,0,0,0.493122594,3.001865964,0,2.032099577,0,0,42.31958187,0.168453911,34.69097652,0,20.73660563,14.83605206,0,14.83591559,0,20.99932495,20.86106229,14.96530644,1,1,10.5,21.055,0,186649.5746,0,262873.8396,0
n-exist,n,exist, 01/01  18:00:00,10.125,0.51,42768.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39468231,13.29430729,0,13.29412321,0,20.9999581,20.73907306,15.33633493,1,1,10.5,21.055,0,345507.7279,0,262873.8396,0
n-exist,n,exist, 01/01  19:00:00,8.375,0.525,110160.0233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.10808313,11.77560566,0,11.77544574,0,21.00000813,20.64929436,15.69220996,1,1,10.5,21.055,0,514216.1633,0,262873.8396,0
n-exist,n,exist, 01/01  20:00:00,8.625,0.975,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.88361387,11.73786445,0,11.73770991,0,21.0000505,20.6138633,15.7999276,1,1,10.5,21.055,0,449766.802,0,262873.8396,0
n-exist,n,exist, 01/01  21:00:00,8.375,0.975,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.79585509,11.82513973,0,11.82496752,0,21.00006867,20.60488066,16.00773534,1,1,10.5,21.055,0,408589.5759,0,262873.8396,0
n-exist,n,exist, 01/01  22:00:00,7.375,0.75,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.74706317,11.5399832,0,11.53979238,0,21.00009156,20.58007734,16.43701409,1,1,10.5,21.055,0,522127.1009,0,262873.8396,0
n-exist,n,exist, 01/01  23:00:00,5.125,0.75,110160.0233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.60249539,10.29241236,0,10.29221665,0,21.00016577,20.49228651,17.26932288,1,1,10.5,21.055,0,880049.2226,0,262873.8396,0
n-exist,n,exist, 01/01  24:00:00,4,0.75,53136.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36208121,8.999532001,0,8.999359507,0,21.00022356,20.3846021,18.2335374,1,1,10.5,21.055,0,1149852.346,0,262873.8396,0
n-exist,n,exist, 01/02  01:00:00,4,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.14744814,8.758160487,0,8.75799635,0,21.00022836,20.32461362,18.75984695,1,1,10.5,21.055,0,1187273.362,0,262873.8396,0
n-exist,n,exist, 01/02  02:00:00,5.875,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04152267,9.772676435,0,9.772524742,0,21.00023636,20.31920172,18.86745908,1,1,10.5,21.055,0,1079431.512,0,262873.8396,0
n-exist,n,exist, 01/02  03:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06737583,10.50094048,0,10.50079012,0,21.00025233,20.32208255,19.02547211,1,1,10.5,21.055,0,1003984.662,0,262873.8396,0
n-exist,n,exist, 01/02  04:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13252233,10.74776193,0,10.74758949,0,21.0002508,20.31739249,19.27277033,1,1,10.5,21.055,0,1004206.531,0,262873.8396,0
n-exist,n,exist, 01/02  05:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15837309,10.7405084,0,10.74033905,0,21.00023765,20.30675652,19.50136148,1,1,10.5,21.055,0,1016862.309,0,262873.8396,0
n-exist,n,exist, 01/02  06:00:00,6.375,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.15002654,10.37290415,0,10.37272905,0,21.00025475,20.2837588,19.80348464,1,1,10.5,21.055,0,1084720.89,0,262873.8396,0
n-exist,n,exist, 01/02  07:00:00,5.375,0.75,53136.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11534457,9.41793189,0,9.417766698,0,21.00026325,20.24877964,20.29216006,1,1,10.5,21.055,0,1208410.865,0,262873.8396,0
n-exist,n,exist, 01/02  08:00:00,5.625,0.51,53136.01126,0,0,0,6.517698412,0,5.167467384,0,5.904976372,0,4.409474138,0,0,0,5.76695685,0,4.409615653,0,0,66.87942111,0.546617753,53.74131115,0,19.09283017,10.03533846,0,10.03405208,0,21.00019286,20.28117741,20.34566679,1,1,10.5,21.055,0,1084192.493,0,262873.8396,0
n-exist,n,exist, 01/02  09:00:00,7.25,0.51,72576.01538,0,0,0,30.28679265,0,21.48805394,0,28.30644409,0,18.20839193,0,0,0,27.18364203,0,18.20920923,0,0,346.076034,5.244570065,287.5556857,0,19.24697171,11.44771593,0,11.43905963,0,21.00009093,20.41222436,19.61538212,1,1,10.5,21.055,0,714708.9996,0,262873.8396,0
n-exist,n,exist, 01/02  10:00:00,8.625,0.3,72576.01538,0,0,0,47.49845189,0,31.26977097,0,44.48595185,0,26.60676599,0,0,0,43.95479942,0,26.60775888,0,0,560.005636,7.090279086,479.6099178,0,19.48187841,12.19286203,0,12.18880765,0,21.00003888,20.50797859,18.98762157,1,1,10.5,21.055,0,657993.4267,0,262873.8396,0
n-exist,n,exist, 01/02  11:00:00,10.25,0.3,53136.01126,0,0,0,57.78804413,0,36.18856035,0,55.52200226,0,30.92463544,0,0,0,56.8909249,0,30.92554689,0,0,690.3628745,7.766568652,600.5946322,0,19.70068477,13.29559154,0,13.30473944,0,20.99999838,20.59604564,18.24098044,1,1,10.5,21.055,0,575855.2667,0,262873.8396,0
n-exist,n,exist, 01/02  12:00:00,13.5,0.3,42768.00906,43.55679072,156804.4466,0,65.05846268,0,38.84541315,0,62.75756574,0,33.23371212,18.56359866,66828.95517,0,66.65548088,0,33.23462114,24.99319206,89975.49141,760.8577168,8.048582905,667.1324542,0,19.97831633,15.54870774,0,15.57457922,0,20.9999741,20.74199609,17.05034674,1,1,10.5,21.055,0,227581.1811,0,262873.8396,0
n-exist,n,exist, 01/02  13:00:00,16.25,0.3,42768.00906,106.3576272,382887.4579,0,68.10384746,0,38.84188034,0,64.24449556,0,33.24049455,48.26859075,173766.9267,0,70.20704706,0,33.24138591,58.08903644,209120.5312,757.806671,7.930005573,666.1282917,0,20.36005982,17.48750438,0,17.5269406,0,21.1009501,20.94645033,15.4447409,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/02  14:00:00,18.25,0.3,42768.00906,147.1458946,529725.2206,0,71.49095016,0,41.12837239,0,66.07237326,0,34.79565004,69.06321374,248627.5695,0,71.54105123,0,34.79731369,78.08268087,281097.6511,737.977155,7.911478049,643.1963665,0,20.85129415,18.99916333,0,19.03678532,0,21.57830984,21.36073913,12.51183899,1,1,10.5,21.055,0,0,0,262873.8396,7676.570196
n-exist,n,exist, 01/02  15:00:00,19,0.3,42768.00906,143.9365324,518171.5165,0,70.98785266,0,43.42058556,0,64.33895535,0,35.80668946,69.91074785,251678.6923,0,66.83976736,0,35.81010955,74.02578452,266492.8243,687.098304,7.80418298,587.952167,0,21.36419408,19.5970672,0,19.61363083,0,22.00530254,21.73576631,10.28251575,1,1,10.5,21.055,0,0,0,262873.8396,4236.497606
n-exist,n,exist, 01/02  16:00:00,18.375,0.3,42768.00906,58.02169585,208878.1051,0,49.32506772,0,32.04123025,0,43.37055077,0,25.53563902,28.6285725,103062.861,0,43.85563142,0,25.53975277,29.39312335,105815.2441,512.6363405,6.361999247,429.0177673,0,21.68068003,19.10354979,0,19.10652076,0,22.13533122,21.86193603,9.505681874,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/02  17:00:00,17.375,0.3,42768.00906,0,0,0.483977976,3.677925333,0,2.687570817,0.47957185,3.207428931,0,2.190036184,0,0,0.493122594,3.212642248,0,2.190294948,0,0,44.78692674,0.248916529,36.6840401,0,21.59008306,18.16081956,0,18.16068603,0,21.90865272,21.65438464,10.44942811,1,1,10.5,21.055,0,0,0,262873.8396,0
n-exist,n,exist, 01/02  18:00:00,13.875,0.51,42768.00906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.30474027,15.89860717,0,15.89841274,0,21.51867746,21.33284656,12.18673461,1,1,10.5,21.055,0,19938.81753,0,262873.8396,0
n-exist,n,exist, 01/02  19:00:00,12,0.525,110160.0233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.90617826,14.42953148,0,14.42934529,0,21.03976046,20.97493688,14.503884,1,1,10.5,21.055,0,53224.85883,0,262873.8396,0
n-exist,n,exist, 01/02  20:00:00,11.375,0.975,129600.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.56716248,13.6798449,0,13.67968458,0,20.99142819,20.8740487,15.05870985,1,1,10.5,21.055,0,64415.90878,0,262873.8396,0
