Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-clear,south,clear, 01/01  01:00:00,5.875,33696.00714,23.36114744,22.52231975,22.9417336,0,149.1629805,22.52231975,0.00532213,31.47916308,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  02:00:00,7,33696.00714,23.16242845,22.47331408,22.81787127,0,127.0284588,22.47331408,0.005493184,32.57980479,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  03:00:00,7,14256.00302,22.94972062,22.29460502,22.62216282,0,121.5452998,22.29460502,0.005601168,33.57707234,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  04:00:00,7,14256.00302,22.74117884,22.11062297,22.42590091,0,118.3480134,22.11062297,0.005580477,33.83043966,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  05:00:00,6.375,14256.00302,22.51444231,21.86966249,22.1920524,0,121.0506048,21.86966249,0.005485826,33.75412943,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  06:00:00,6,14256.00302,22.26935182,21.60102368,21.93518775,0,124.8807684,21.60102368,0.005404748,33.81026765,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  07:00:00,4.75,53136.01126,22.01859605,21.28141083,21.65000344,0,134.4859905,21.28141083,0.005281561,33.69850936,0,0,0,0,0,0,0,0,0,484173.6449
s-clear,south,clear, 01/01  08:00:00,5.25,53136.01126,22.60900747,21.62687645,22.11794196,0,185.5682936,21.62687645,0.005104833,31.93850607,0,0,0,14.0368989,50532.83605,13.7346079,49444.58844,15366.5723,4.268492305,484173.6449
s-clear,south,clear, 01/01  09:00:00,7.25,72576.01538,25.3524279,23.72470298,24.53856544,0,377.0012403,23.72470298,0.005046362,27.80439575,0,0,0,206.4350197,743166.071,206.4291266,743144.8557,8994.595087,2.498498635,484173.6449
s-clear,south,clear, 01/01  10:00:00,10.5,72576.01538,27.15214511,23.99933299,25.57573905,0,753.6943592,23.99933299,0.005066975,27.46684385,0,0,0,656.0606631,2361818.387,656.0606631,2361818.387,0,0,484173.6449
s-clear,south,clear, 01/01  11:00:00,13.25,53136.01126,27.58414503,23.99980573,25.79197538,0,852.7879334,23.99980573,0.005025701,27.25419479,0,0,0,802.552148,2889187.733,802.552148,2889187.733,0,0,484173.6449
s-clear,south,clear, 01/01  12:00:00,14.625,42768.00906,27.53268453,23.99980985,25.76624719,0,816.9577189,23.99980985,0.004928222,26.71329736,0,0,0,790.380212,2845368.763,790.380212,2845368.763,0,0,484173.6449
s-clear,south,clear, 01/01  13:00:00,15.625,42768.00906,27.29433682,23.99983111,25.64708396,0,730.9115723,23.99983111,0.0048241,26.12744583,0,0,0,721.5495735,2597578.465,721.5495735,2597578.465,0,0,484173.6449
s-clear,south,clear, 01/01  14:00:00,16.625,42768.00906,26.97030421,23.99984847,25.48507634,0,632.3604925,23.99984847,0.004701927,25.44555284,0,0,0,640.2014962,2304725.386,640.2014962,2304725.386,0,0,484173.6449
s-clear,south,clear, 01/01  15:00:00,15.125,42768.00906,26.499931,23.99986036,25.24989568,0,505.7921081,23.99986036,0.004791741,25.91814912,0,0,0,487.6751197,1755630.431,487.6751197,1755630.431,0,0,484173.6449
s-clear,south,clear, 01/01  16:00:00,14,42768.00906,25.95541658,23.9998946,24.97765559,0,376.0602408,23.9998946,0.005174535,27.97150775,0,0,0,338.4243709,1218327.735,338.4243709,1218327.735,0,0,484173.6449
s-clear,south,clear, 01/01  17:00:00,12.75,42768.00906,25.36389765,23.99990023,24.68189894,0,240.1275436,23.99990023,0.005505876,29.74690447,0,0,0,180.8622838,651104.2217,180.8622838,651104.2217,0,0,484173.6449
