Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 2 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
w-lowe,w,lowe, 01/01  01:00:00,5.875,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6222504,16.1180354,0,16.11796011,0,22.28413825,22.53563093,6.858739844,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  02:00:00,7,0.975,33696.00714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43871094,16.39673589,0,16.39666861,0,22.24700158,22.43474285,7.071633111,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  03:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34119947,16.29695484,0,16.29688696,0,22.0973731,22.27173732,7.563292688,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  04:00:00,7,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21138737,16.19658762,0,16.19651711,0,21.94380315,22.1083121,8.176283549,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  05:00:00,6.375,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05269094,15.83426679,0,15.83419071,0,21.73650217,21.90789869,9.080182821,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  06:00:00,6,0.975,14256.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8374604,15.55322277,0,15.55314395,0,21.50198411,21.68533664,10.20362269,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  07:00:00,4.75,0.75,53136.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.62036508,14.93290088,0,14.9328244,0,21.22058674,21.4361592,11.69109104,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  08:00:00,5.25,0.51,53136.01126,0,0,0,6.380805661,0,4.743960557,0,5.732108681,0,4.058821909,0,0,0,5.906804377,0,4.05893259,0,0,46.83382622,0.045760812,38.18773096,0,20.40344275,15.15381765,0,15.15715516,0,21.13065843,21.32077761,12.50239709,1,1,10.5,21.055,0,0,0,424386.7498,0
w-lowe,w,lowe, 01/01  09:00:00,7.25,0.51,72576.01538,0,0,0,34.37193419,0,21.1118886,0,31.46136396,0,17.91208439,0,0,0,32.4876535,0,17.91284716,0,0,258.3331278,3.232842206,217.2649341,0,20.47425124,16.56872143,0,16.58901018,0,21.50626389,21.58184441,10.9795625,1,1,10.5,21.055,0,0,0,424386.7498,13912.16344
w-lowe,w,lowe, 01/01  10:00:00,10.5,0.3,72576.01538,0,0,0,59.50183997,0,30.68786013,0,55.26805952,0,26.14261444,0,0,0,55.92360715,0,26.14353332,0,0,430.4960835,4.904221713,370.4026367,0,20.78821064,18.44412556,0,18.4573177,0,21.88030915,21.88809833,9.404650743,1,1,10.5,21.055,0,0,0,424386.7498,6569.806303
w-lowe,w,lowe, 01/01  11:00:00,13.25,0.3,53136.01126,51.83668563,186612.0683,0.740459702,143.1306984,60.25570206,40.965626,0.295382452,95.66583108,21.83510479,31.69078285,20.41126867,73480.56722,0.67142365,131.8886767,54.21116251,35.45826991,31.42541696,113131.5011,616.0284331,5.565814939,540.3092541,0,21.23708955,20.15517713,0,20.4838256,0,22.2410203,22.20973548,8.053014702,1,1,10.5,21.055,0,0,0,424386.7498,11922.42606
w-lowe,w,lowe, 01/01  12:00:00,14.625,0.3,42768.00906,191.7977639,690471.9501,0.716155312,297.5062071,190.9572395,58.11026317,0.149641541,124.3308961,38.95311616,36.63639717,55.45234855,199628.4548,0.586593082,251.9578864,154.3913909,48.83630141,136.3454154,490843.4953,955.8351023,5.891460723,849.6976579,0,21.96005092,21.60329922,0,23.73279021,0,22.78817917,22.74808296,6.386350307,1,1,10.5,21.055,0,0,0,424386.7498,20422.07695
w-lowe,w,lowe, 01/01  13:00:00,15.625,0.3,42768.00906,425.5491226,1531976.842,0.795042131,470.74954,348.7673907,73.24998124,0.33367478,246.1172911,149.5005573,47.58367994,175.3848487,631385.4552,0.521492379,332.6923571,228.0933166,55.57710894,250.164274,900591.3863,1504.732688,5.635398519,1355.3067,0,23.02138156,24.98720369,0,26.61275786,0,23.52412986,23.5483661,5.182757557,0.5,1,10.5,21.055,0,0,0,424386.7498,43009.4335
w-lowe,w,lowe, 01/01  14:00:00,16.625,0.3,42768.00906,775.0784055,2790282.26,0.843027812,618.1294463,483.6811534,90.4088655,0.553848425,430.5561407,319.0693544,67.13907972,379.2828558,1365418.281,0.581015876,447.1244739,334.0709201,68.71724286,395.7955497,1424863.979,2312.691678,6.399716387,2066.334121,0,24.48186626,29.91927348,0,30.23555529,0,23.9753766,24.41791727,5.349558484,0,0.75,10.5,21.055,0,0,0,424386.7498,283871.06
w-lowe,w,lowe, 01/01  15:00:00,15.125,0.3,42768.00906,1058.825435,3811771.564,0.874650104,696.5774951,552.7679722,109.7202246,0.706480596,570.5574048,446.1619215,90.00171436,529.3209578,1905555.448,0.706738623,570.7294391,446.3255569,90.02136807,529.5044768,1906216.116,12526.51574,8.390833947,2728.281917,0,25.96574557,32.73505126,0,32.73836958,0,23.99935292,25.00847659,6.313366885,0,0,10.5,21.055,0,0,0,424386.7498,568150.8338
w-lowe,w,lowe, 01/01  16:00:00,14,0.3,42768.00906,899.5848532,3238505.471,0.911017562,542.8035026,413.9480414,111.0346028,0.834274466,492.7330885,376.4336519,98.21264257,449.7963697,1619266.931,0.834274466,492.7267005,376.4336519,98.216085,449.7884835,1619238.54,8640.755149,10.89964463,5254.893835,0,26.73690298,31.20869684,0,31.20848855,0,23.99988132,25.17752177,6.854587497,0,0,10.5,21.055,0,0,0,424386.7498,637503.1159
