Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),PLENUM-1:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),PLENUM-1:Zone Mean Air Temperature [C](Hourly),PLENUM-1:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air Humidity Ratio [](Hourly),PLENUM-1:Zone Air Relative Humidity [%](Hourly),HOT WATER LOOP HOT WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),CHILLED WATER LOOP CHILLED WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),CHILLED WATER LOOP CONDENSER WATER LOOP:Plant Supply Side Outlet Temperature [C](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),PLENUM-1:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),PLENUM-1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),PLENUM-1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE REHEAT COIL:Heating Coil Heating Energy [J](Hourly),COMFENZONE REHEAT COIL:Heating Coil Heating Rate [W](Hourly),VAV SYS 1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),VAV SYS 1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),VAV SYS 1 COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),VAV SYS 1 COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),VAV SYS 1 COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),VAV SYS 1 COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),COMFENZONE VAV REHEAT:Zone Air Terminal VAV Damper Position [](Hourly),MAIN BOILER:Boiler Heating Rate [W](Hourly),MAIN BOILER:Boiler Heating Energy [J](Hourly),MAIN BOILER:Boiler NaturalGas Rate [W](Hourly),MAIN BOILER:Boiler NaturalGas Energy [J](Hourly),MAIN CHILLER:Chiller Electricity Rate [W](Hourly),MAIN CHILLER:Chiller Electricity Energy [J](Hourly),MAIN CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),MAIN CHILLER:Chiller Evaporator Cooling Energy [J](Hourly),MAIN CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),MAIN CHILLER:Chiller Condenser Heat Transfer Energy [J](Hourly),MAIN CHILLER:Chiller COP [W/W](Hourly),MAIN TOWER:Cooling Tower Heat Transfer Rate [W](Hourly),MAIN TOWER:Cooling Tower Fan Electricity Rate [W](Hourly),MAIN TOWER:Cooling Tower Fan Electricity Energy [J](Hourly),VAV SYS 1:Air System Fan Electricity Energy [J](Hourly) 
Eclear,E,Clear, 01/01  01:00:00,-6.65,39312,11.36380167,13.00631936,12.97705839,12.17043003,12.89633045,12.95132491,172.8958649,0,12.97705839,0.003226203,34.04928412,4.025552159,3.873020676,12.89633045,0.003318697,35.21215957,81.62844311,7.340311532,31.03618821,1,0,0,0,0,0,1459814.957,405.5041547,0,0,0,0,0,0,0.3,415.3933053,1495415.899,529.9885545,1907958.796,0,0,0,0,0,0,0,0,0,0,378007.7433
Eclear,E,Clear, 01/01  02:00:00,-7.9875,39312,11.14905041,13.0122421,12.78311442,11.96608242,12.92870762,12.97047486,142.9361112,0.412292197,12.78311442,0.002933169,31.53837612,4.687626251,3.356234298,12.92870762,0.003024684,32.17270204,81.73212577,7.340311532,31.03618821,1,0,0,0,0,0,1193034.705,331.3985291,0,0,0,0,0,0,0.225,321.0085007,1155630.602,409.4979215,1474192.517,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  03:00:00,-7.425,16632,11.07509868,13.01241408,12.76907824,11.92208846,12.92213926,12.96727667,144.7498597,0.113141036,12.76907824,0.002659966,28.61077162,5.0902174,3.376797655,12.92213926,0.002724252,28.98190646,81.72132472,7.340311532,31.03618821,1,0,0,0,0,0,1171709.921,325.474978,0,0,0,0,0,0,0.225,317.3591441,1142492.919,404.8811108,1457571.999,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  04:00:00,-6.8875,16632,11.05304723,13.01003215,12.76560964,11.90932844,12.94486462,12.97744839,171.2524309,0,12.76560964,0.002461286,26.45420604,2.977454962,3.83907168,12.94486462,0.002509138,26.63591544,81.72972321,7.340311532,31.03618821,1,0,0,0,0,0,1250101.048,347.2502912,0,0,0,0,0,0,0.225,337.399265,1214637.354,430.2272155,1548817.976,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  05:00:00,-6.325,16632,11.09041618,13.00873628,12.77789814,11.93415716,12.98895912,12.9988477,160.2734055,0,12.77789814,0.002322238,24.91719903,2.156899856,0.624274129,12.98895912,0.002353053,24.88914498,81.4088028,7.340311532,31.03618821,1,0,0,0,0,0,1173922.885,326.0896903,0,0,0,0,0,0,0.225,311.9431714,1122995.417,398.0854953,1433107.783,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  06:00:00,-6.1,16632,11.00654117,13.00783868,12.98862215,11.99758166,12.92086284,12.96435076,214.3378878,0,12.98862215,0.002228823,23.57100053,5.095190238,3.794115458,12.92086284,0.002254967,23.95591936,81.60359281,7.340311532,31.03618821,1,0,0,0,0,0,1562352.346,433.9867629,0,0,0,0,0,0,0.3,419.6796818,1510846.854,535.4791084,1927724.79,0,0,0,0,0,0,0,0,0,0,378007.7433
Eclear,E,Clear, 01/01  07:00:00,-5.7875,61992,11.02121254,13.00698207,12.75925894,11.89023574,12.91744229,12.96221218,155.0626306,0,12.75925894,0.00216025,23.1853353,5.367311538,3.659612723,12.91744229,0.002179081,23.12699269,80.86345798,7.340311532,31.03618821,1,0,0,0,0,0,1142842.99,317.4563862,0,0,0,0,0,0,0.225,303.4350007,1092366.003,387.262592,1394145.331,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  08:00:00,-5.225,61992,11.12281292,13.00502979,12.79081876,11.95681584,12.90571849,12.95537414,149.2309155,7.896001269,12.79081876,0.00208959,22.34248423,5.368976862,3.483586274,12.90571849,0.002106513,22.34393126,80.35331437,7.340311532,31.03618821,1,0,0,0,0,0,1069127.341,296.979817,0,0,0,0,0,0,0.225,284.6502091,1024740.753,363.3612813,1308100.613,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  09:00:00,-4.625,84672,11.34629565,13.00370138,12.86440869,12.10535217,12.94142163,12.9725615,109.9606313,0.580224419,12.86440869,0.002040648,21.68680571,1.559383546,3.186809037,12.94142163,0.002052237,21.69697318,79.83819451,7.340311532,31.03618821,1,0,0,0,0,0,917403.4934,254.8343037,0,0,0,0,0,0,0.225,242.5930875,873335.1149,310.1676083,1116603.39,0,0,0,0,0,0,0,0,0,0,283505.8075
Eclear,E,Clear, 01/01  10:00:00,-3.7125,84672,11.83514175,12.9952041,12.93336734,12.38425454,12.97962966,12.98741688,74.90103936,0,12.93336734,0.002013761,21.2947006,1.887983521,0.513976184,12.97962966,0.002022024,21.31692119,79.04419891,7.340311532,31.03618821,1,0,0,0,0,0,769231.8785,213.6755218,0,0,0,0,0,0,0.225,196.6411488,707908.1356,251.7979606,906472.6583,0,0,0,0,0,0,0,0,0,0,283505.8075
