Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
e-singletint-lowe,east,lowe panel, 01/01  01:00:00,7.8375,35099.99643,22.71190458,22.55894133,22.63542295,0,35.89315033,22.55894133,0.006145483,35.57885592,0,0,0,0,0,0,0,17053.27348,4.737020412,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  02:00:00,6.8875,35099.99643,22.38531129,22.16529095,22.27530112,0,45.09622378,22.16529095,0.006273645,37.08119714,0,0,0,0,0,0,0,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  03:00:00,6.0125,14849.99849,22.06006708,21.80545866,21.93276287,0,49.13225069,21.80545866,0.006315309,38.17685432,0,0,0,0,0,0,0,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  04:00:00,5.9125,14849.99849,21.76579199,21.50467477,21.63523338,0,50.34556864,21.50467477,0.006300655,38.81004135,0,0,0,0,0,0,0,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  05:00:00,6.1,14849.99849,21.52759884,21.30001707,21.41380795,0,47.59977868,21.30001707,0.006272858,39.15280047,0,0,0,0,0,0,0,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  06:00:00,5.4125,14849.99849,21.26446846,21.06386027,21.16416437,0,42.05487374,21.06386027,0.006230396,39.47293803,0,0,0,0,0,0,0,32653.63751,9.070454863,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  07:00:00,5,55349.99437,21.05116114,21.00056231,21.02586173,0,15.5258768,21.00056231,0.006114141,38.91900399,0,0,0,0,0,0,0,153486.0379,42.63501053,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  08:00:00,4.625,55349.99437,21.55884753,21.32427701,21.44156227,0,62.73378571,21.32427701,0.005932322,37.08635551,0,0,0,7.830003293,28188.01186,7.058636241,25411.09047,71416.4909,19.83791414,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  09:00:00,7.2125,75599.99231,23.8398415,23.51157797,23.67570974,0,140.5587276,23.51157797,0.005819381,31.89175084,0,0,0,67.70154812,243725.5732,65.68294451,236458.6002,17290.10422,4.802806728,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  10:00:00,12.3375,75599.99231,24.96596838,23.99879131,24.48237984,0,244.9403131,23.99879131,0.005809385,30.92800721,0,0,0,222.6679517,801604.6261,222.1218554,799638.6793,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  11:00:00,15.8375,55349.99437,25.48251001,23.99983312,24.74117157,0,314.6537224,23.99983312,0.00570521,30.3879682,0,0,0,320.9856973,1155548.51,320.9856973,1155548.51,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  12:00:00,17.7,44549.99547,25.13484455,23.9998771,24.56736082,0,225.580892,23.9998771,0.005562161,29.63271271,0,0,0,247.3245203,890368.273,247.3245203,890368.273,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  13:00:00,20.05,44549.99547,24.68646053,23.9999322,24.34319637,0,131.6138573,23.9999322,0.005431877,28.92645794,0,0,0,172.7807866,622010.8319,172.7807866,622010.8319,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  14:00:00,21.7875,44549.99547,24.68223764,23.99993354,24.34108559,0,129.3063878,23.99993354,0.005321764,28.31661467,0,0,0,184.8171864,665341.871,184.8171864,665341.871,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  15:00:00,21.8875,44549.99547,24.62409752,23.99993848,24.312018,0,118.779029,23.99993848,0.005256434,27.96134383,0,0,0,175.1172662,630422.1584,175.1172662,630422.1584,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  16:00:00,21.0125,44549.99547,24.49615052,23.99994772,24.24804912,0,98.36888787,23.99994772,0.005214375,27.75684932,0,0,0,147.4876441,530955.5188,147.4876441,530955.5188,0,0,265656.6621
e-singletint-lowe,east,lowe panel, 01/01  17:00:00,19.1625,44549.99547,24.36915805,23.99995884,24.18455844,0,78.0502924,23.99995884,0.005181182,27.59199642,0,0,0,111.9025745,402849.2683,111.9025745,402849.2683,0,0,265656.6621
