Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint-lowe,south,lowe panel, 01/01  01:00:00,7.8375,35099.99643,23.80263218,23.9846403,23.89363624,20.97519386,0,23.9846403,0.006045345,32.11455817,0,0,0,4.778105,17201.178,4.687467343,16874.88244,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  02:00:00,6.8875,35099.99643,23.55900849,23.77547314,23.66724081,27.888268,0,23.77547314,0.00617967,33.13753246,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  03:00:00,6.0125,14849.99849,23.29249479,23.47983813,23.38616646,26.42149317,0,23.47983813,0.006262557,34.20259825,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  04:00:00,5.9125,14849.99849,23.04144094,23.20275583,23.12209839,23.06856523,0,23.20275583,0.006305711,35.02920537,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  05:00:00,6.1,14849.99849,22.83204111,23.02568321,22.92886216,23.99656163,0,23.02568321,0.006332621,35.57822787,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  06:00:00,5.4125,14849.99849,22.59617828,22.7956975,22.69593789,25.10803536,0,22.7956975,0.006342801,36.14855434,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  07:00:00,5,55349.99437,22.37246619,22.52900266,22.45073443,21.56628214,0,22.52900266,0.006291296,36.46526544,0,0,0,0,0,0,0,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  08:00:00,4.625,55349.99437,22.47891317,22.57952559,22.52921938,4.844768924,18.8630316,22.57952559,0.006174271,35.72305971,0,0,0,7.611636925,27401.89293,6.970616259,25094.21853,0,0,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  09:00:00,7.2125,75599.99231,23.81681779,23.71123694,23.76402736,0,105.6717989,23.71123694,0.006069547,32.83826888,0,0,0,100.0886429,360319.1146,96.67255157,348021.1857,9865.619398,2.740449833,562028.1994
s-singletint-lowe,south,lowe panel, 01/01  10:00:00,12.3375,75599.99231,25.10895943,23.99159602,24.55027772,0,253.5423634,23.99159602,0.006011326,32.00666799,0,0,0,312.9336679,1126561.204,311.6160459,1121817.765,0,0,562028.1994
