Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Mean Radiant Temperature [C](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE:Zone Air System Sensible Heating Rate [W](Hourly),COMFENZONE:Zone Air System Sensible Cooling Rate [W](Hourly),COMFENZONE:Zone Air Temperature [C](Hourly),COMFENZONE:Zone Air Humidity Ratio [](Hourly),COMFENZONE:Zone Air Relative Humidity [%](Hourly),COMFENZONE:Zone Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](Hourly),COMFENZONE:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Total Cooling Energy [J](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Rate [W](Hourly),SYS-1 DX COOLING COIL:Cooling Coil Sensible Cooling Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Energy [J](Hourly),SYS-1 HEATING COIL:Heating Coil Heating Rate [W](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly) 
s-singletint,south,existing, 01/01  01:00:00,7.8375,35099.99643,23.22822442,23.92341822,23.57582132,141.9866182,0,23.92341822,0.005954696,31.75519595,0,0,0,0,0,0,0,0,0,915433.6117
s-singletint,south,existing, 01/01  02:00:00,6.8875,35099.99643,22.79374379,23.58233485,23.18803932,159.1065816,0,23.58233485,0.006053284,32.84669453,0,0,0,0,0,0,0,62164.67327,17.2679648,915433.6117
s-singletint,south,existing, 01/01  03:00:00,6.0125,14849.99849,22.36723592,23.18241899,22.77482745,164.6860862,0,23.18241899,0.006118008,34.02717922,0,0,0,0,0,0,0,72133.43014,20.03706393,915433.6117
s-singletint,south,existing, 01/01  04:00:00,5.9125,14849.99849,21.9872915,22.79140035,22.38934592,161.1377815,0,22.79140035,0.006155445,35.06565594,0,0,0,0,0,0,0,76644.45739,21.29012705,915433.6117
s-singletint,south,existing, 01/01  05:00:00,6.1,14849.99849,21.66591205,22.46223094,22.0640715,151.8676358,0,22.46223094,0.006180102,35.93799228,0,0,0,0,0,0,0,29004.25665,8.056737957,915433.6117
s-singletint,south,existing, 01/01  06:00:00,5.4125,14849.99849,21.28442692,22.08448325,21.68445509,152.6678295,0,22.08448325,0.00619049,36.84858697,0,0,0,0,0,0,0,28463.22188,7.906450523,915433.6117
s-singletint,south,existing, 01/01  07:00:00,5,55349.99437,20.93537687,21.75335256,21.34436471,156.8698848,0,21.75335256,0.006158568,37.43186544,0,0,0,0,0,0,0,64196.60241,17.83238956,915433.6117
s-singletint,south,existing, 01/01  08:00:00,4.625,55349.99437,21.07936035,21.6778801,21.37862023,102.6518376,0,21.6778801,0.006082791,37.18573648,0,0,0,0,0,0,0,27783.44067,7.717622409,915433.6117
s-singletint,south,existing, 01/01  09:00:00,7.2125,75599.99231,23.15414823,23.15630626,23.15522724,2.298428483,71.4312458,23.15630626,0.006007492,33.63018557,0,0,0,116.8151263,420534.4546,112.6108395,405399.0222,14244.75782,3.956877172,915433.6117
s-singletint,south,existing, 01/01  10:00:00,12.3375,75599.99231,25.42145516,23.94502618,24.68324067,0,347.2088092,23.94502618,0.005970505,31.88063016,0,0,0,493.7666746,1777560.028,492.7619686,1773943.087,0,0,915433.6117
