Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
B1Nexist,N,Exist, 01/01  01:00:00,14.875,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.62321466,17.08730464,0,17.08730464,0,23.59513766,23.55252517,5.615083891,1,1,13,21.83,0,13292.71234,0,154324.401,0
B1Nexist,N,Exist, 01/01  02:00:00,12.375,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.36200834,15.44201865,0,15.44201865,0,23.04424349,23.12987112,5.076554633,1,1,13,21.83,0,12475.17413,0,154324.401,0
B1Nexist,N,Exist, 01/01  03:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.07828371,15.14654705,0,15.14654705,0,22.75043759,22.86026669,5.010850267,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  04:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.83150858,15.18098593,0,15.18098593,0,22.5760173,22.67775009,5.092426147,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  05:00:00,12.625,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.62589594,15.78232771,0,15.78232771,0,22.50090667,22.57613178,5.172973113,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  06:00:00,13,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.46881528,15.92798777,0,15.92798777,0,22.45407862,22.49922585,5.236678528,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  07:00:00,13,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3415187,15.96108432,0,15.96108432,0,22.35885747,22.40308812,5.35038139,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  08:00:00,13,0.51,55969.9173,0,0,0,7.837408187,0,6.407691145,0,7.869422325,0,6.407696298,0,0,0,7.858481174,0,6.407696298,0,0,69.63612687,0,22.30199147,16.14642149,0,16.14633562,0,22.45900235,22.44909513,5.302584631,1,1,13,21.83,0,0,0,154324.401,0
B1Nexist,N,Exist, 01/01  09:00:00,13.625,0.51,76446.71631,0,0,0,38.30888066,0,30.79277899,0,38.53911405,0,30.79280376,0,0,0,38.39424094,0,30.79280376,0,0,345.1789913,0,22.49039803,16.8965594,0,16.89538512,0,22.88873818,22.78971472,5.047673142,1,1,13,21.83,0,0,0,154324.401,11496.31533
B1Nexist,N,Exist, 01/01  10:00:00,14.625,0.3,76446.71631,26.33859871,94818.95536,0,52.31647536,0,42.69833632,0,52.50507632,0,42.69837066,13.18221441,47455.97188,0,52.47484145,0,42.69837066,13.1563843,47362.98347,428.6954892,0,22.68310315,17.72377023,0,17.7235234,0,23.02022351,22.96808603,5.005116722,1,1,13,21.83,0,0,0,154324.401,0
