Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
B2Elowe,E,Lowe, 01/01  01:00:00,14.875,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.64810601,20.20740531,0,20.20740531,0,23.32197443,23.49605748,5.311561302,1,1,13,21.83,0,9416.504729,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  02:00:00,12.375,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38522329,19.14692917,0,19.14692917,0,22.79702178,23.10119382,5.01200346,1,1,13,21.83,0,5094.87193,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  03:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.11646913,18.85559103,0,18.85559103,0,22.53698428,22.85710045,5.091451934,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  04:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88822861,18.76525109,0,18.76525109,0,22.37290269,22.68501948,5.257045095,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  05:00:00,12.625,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.69552702,18.97799649,0,18.97799649,0,22.30040012,22.58117407,5.37348219,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  06:00:00,13,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.55233112,19.04472612,0,19.04472612,0,22.25423419,22.50661059,5.431204048,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  07:00:00,13,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.43967916,19.00910625,0,19.00910625,0,22.16871371,22.41904121,5.551511074,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  08:00:00,13,0.51,55969.9173,1.960565001,7058.034004,0.499999598,27.51997189,9.246422654,16.82173924,0.5,27.54184889,9.246430091,16.82175277,0.980571617,3530.05782,0.5,27.54080386,9.246430091,16.82175277,0.979993385,3527.976184,63.8051068,0,22.41448382,19.83343712,0,19.8334065,0,22.27740204,22.48882388,5.453844779,1,1,13,21.83,0,0,0,141672.2026,0
B2Elowe,E,Lowe, 01/01  09:00:00,13.625,0.51,76446.71631,24.84082359,89426.96491,0.999999196,81.63187379,24.18733233,49.63925467,1,81.74093664,24.18735179,49.63929459,12.42200819,44719.22948,1,81.73572473,24.18735179,49.63929459,12.4188154,44707.73543,332.6233199,0,22.62154906,21.75131585,0,21.7511606,0,22.78160276,22.89442207,5.054315902,1,1,13,21.83,0,0,0,141672.2026,7024.886408
B2Elowe,E,Lowe, 01/01  10:00:00,14.625,0.3,76446.71631,11.73734157,42254.42964,0.999999196,57.60717552,2.656499365,45.19574986,1,57.76057508,2.656501502,45.19578621,5.870572573,21134.06126,1,57.75324225,2.656501502,45.19578621,5.866768994,21120.36838,314.9695501,0,22.72665325,21.56095256,0,21.56073523,0,22.79034427,22.93575981,5.018115093,1,1,13,21.83,0,0,0,141672.2026,0
