Scenario,Elevation,GlazingSystem,Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),COMFENZONE PEOPLE 1:People Occupant Count [](Hourly),COMFENZONE:Zone Lights Electricity Energy [J](Hourly),COMFENZONE:Zone Windows Total Heat Gain Rate [W](Hourly),COMFENZONE:Zone Windows Total Heat Gain Energy [J](Hourly),EXTWALL:Surface Outside Face Sunlit Fraction [](Hourly),EXTWALL:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),EXTWALL:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_1:Surface Window Heat Gain Rate [W](Hourly),WIN_1_1:Surface Window Heat Gain Energy [J](Hourly),WIN_1_2:Surface Outside Face Sunlit Fraction [](Hourly),WIN_1_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Beam Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Outside Face Incident Sky Diffuse Solar Radiation Rate per Area [W/m2](Hourly),WIN_1_2:Surface Window Heat Gain Rate [W](Hourly),WIN_1_2:Surface Window Heat Gain Energy [J](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Illuminance [lux](Hourly),COMFENZONE_DAYLCTRL:Daylighting Reference Point 1 Glare Index [](Hourly),EXTWALL:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Inside Face Temperature [C](Hourly),WIN_1_1:Surface Shading Device Is On Time Fraction [](Hourly),WIN_1_2:Surface Inside Face Temperature [C](Hourly),WIN_1_2:Surface Shading Device Is On Time Fraction [](Hourly),COMFENZONE:Zone Mean Air Temperature [C](Hourly),COMFENZONE:Zone Operative Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort Fanger Model PPD [%](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 90% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model 80% Acceptability Status [](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Running Average Outdoor Air Temperature [C](Hourly),COMFENZONE PEOPLE 1:Zone Thermal Comfort ASHRAE 55 Adaptive Model Temperature [C](Hourly),COMFENZONE:Zone Cooling Setpoint Not Met Time [hr](Hourly),SYS-1 HEATING COIL:Heating Coil Electricity Energy [J](Hourly),SYS-1:Air System NaturalGas Energy [J](Hourly),SYS-1:Air System Fan Electricity Energy [J](Hourly),SYS-1:Air System DX Cooling Coil Electricity Energy [J](Hourly) 
C3Wexist,W,Exist, 01/01  01:00:00,14.875,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68937957,17.17076797,0,17.17076797,0,23.36799797,23.46915716,5.327626956,1,1,13,21.83,0,21757.24325,0,241642.8685,0
C3Wexist,W,Exist, 01/01  02:00:00,12.375,0.975,35493.11829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.35570549,15.50544958,0,15.50544958,0,22.74461154,22.97959366,5.026264373,1,1,13,21.83,0,28078.06415,0,241642.8685,0
C3Wexist,W,Exist, 01/01  03:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.008153,15.19218634,0,15.19218634,0,22.382479,22.6479446,5.253279,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  04:00:00,12,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.71161866,15.21098857,0,15.21098857,0,22.16229378,22.41845149,5.602694557,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  05:00:00,12.625,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.47117356,15.80137573,0,15.80137573,0,22.0640426,22.28662698,5.843851985,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  06:00:00,13,0.975,15016.31927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29553888,15.93884793,0,15.93884793,0,22.00256467,22.18921647,5.997848436,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  07:00:00,13,0.75,55969.9173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.14705875,15.96329362,0,15.96329362,0,21.88548123,22.06882852,6.260932165,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  08:00:00,13,0.51,55969.9173,0,0,0,7.801074577,0,6.407691145,0,7.818811806,0,6.407696298,0,0,0,7.833426224,0,6.407696298,0,0,56.6060434,0,22.08318041,16.13652746,0,16.13664262,0,21.93259481,22.07435682,6.248437037,1,1,13,21.83,0,0,0,241642.8685,0
C3Wexist,W,Exist, 01/01  09:00:00,13.625,0.51,76446.71631,0,0,0,38.06987958,0,30.79277899,0,38.13955802,0,30.79280376,0,0,0,38.28323879,0,30.79280376,0,0,291.5556389,0,22.2357501,16.86791601,0,16.86908472,0,22.28929539,22.36163069,5.635983101,1,1,13,21.83,0,0,0,241642.8685,10252.52479
C3Wexist,W,Exist, 01/01  10:00:00,14.625,0.3,76446.71631,27.45001615,98820.05813,0,52.30253,0,42.69833632,0,52.45428437,0,42.69837066,13.70094007,49323.38427,0,52.50115978,0,42.69837066,13.74907607,49496.67387,418.0412058,0,22.39252711,17.69212072,0,17.69250309,0,22.45536536,22.5464659,5.313754325,1,1,13,21.83,0,0,0,241642.8685,0
